ACC_X,ACC_Y,ACC_Z,BVP,EDA,TEMP,HR,Label
-17,14,59,-0.0,0.0,382.21,60.0,Neutral
-18,13,59,-0.05,0.86104,382.21,60.0,Neutral
-18,14,59,6.2,1.204187,382.21,62.67,Neutral
-18,14,59,22.9,1.641812,382.21,64.0,Neutral
-18,13,59,93.76,2.119129,33.77,65.6,Neutral
-19,14,59,208.53,2.570958,33.77,67.17,Neutral
-17,14,60,-537.23,2.622894,33.77,68.43,Neutral
-17,14,60,71.43,2.648482,33.77,69.25,Neutral
-18,14,59,141.3,2.6536,33.77,69.78,Neutral
-17,14,59,37.59,2.666394,33.77,70.2,Neutral
-18,14,59,2.62,2.679188,33.77,70.55,Neutral
-17,14,59,0.24,2.688143,33.77,70.75,Neutral
-18,14,59,0.65,2.690702,33.75,70.92,Neutral
-17,14,59,3.25,2.699658,33.75,71.07,Neutral
-17,14,59,7.03,2.702217,33.75,71.2,Neutral
-17,14,59,-31.5,2.704776,33.75,71.38,Neutral
-17,14,59,14.21,2.700938,33.75,71.53,Neutral
-17,14,59,2.35,2.71757,33.75,71.67,Neutral
-17,14,59,-3.36,2.709893,33.75,71.79,Neutral
-17,14,59,14.78,2.700938,33.75,71.9,Neutral
-17,14,59,-10.9,2.711173,33.75,72.05,Neutral
-17,14,59,-28.15,2.712452,33.75,72.18,Neutral
-18,14,59,26.21,2.709893,33.75,72.22,Neutral
-17,14,59,-15.27,2.712452,33.75,72.25,Neutral
-18,14,59,-17.05,2.712452,33.73,72.28,Neutral
-17,14,59,2.89,2.711173,33.73,72.31,Neutral
-17,14,59,-87.94,2.703496,33.73,72.33,Neutral
-18,13,60,84.96,2.711173,33.73,72.32,Neutral
-17,15,59,60.43,2.712452,33.75,72.28,Neutral
-17,14,59,-11.96,2.704776,33.75,72.17,Neutral
-17,14,59,-7.64,2.700938,33.75,72.19,Neutral
-18,14,59,29.71,2.709893,33.75,72.25,Neutral
-18,14,59,-8.09,2.711173,33.75,72.3,Neutral
-17,14,59,-28.11,2.713732,33.75,72.38,Neutral
-17,14,62,26.61,2.715011,33.75,72.43,Neutral
-17,14,60,-10.9,2.712452,33.75,72.5,Neutral
-18,12,52,-9.38,2.721408,33.73,72.57,Neutral
-16,15,60,25.29,2.713732,33.73,72.63,Neutral
-18,13,59,-15.05,2.708614,33.73,72.69,Neutral
-18,13,59,-21.37,2.700938,33.73,72.75,Neutral
-17,14,59,29.19,2.704776,33.75,72.8,Neutral
-18,14,59,-6.12,2.693261,33.75,72.88,Neutral
-18,13,59,-37.41,2.699658,33.75,72.98,Neutral
-18,14,59,32.58,2.702217,33.75,73.09,Neutral
-18,14,59,1.07,2.712452,33.75,73.2,Neutral
-18,14,59,-51.1,2.704776,33.75,73.3,Neutral
-18,14,59,31.58,2.699658,33.75,73.4,Neutral
-18,14,59,10.9,2.706055,33.75,73.52,Neutral
-18,14,59,-42.97,2.706055,33.73,73.63,Neutral
-18,14,59,27.27,2.700938,33.73,73.76,Neutral
-18,14,59,15.72,2.706055,33.73,73.9,Neutral
-18,14,59,-36.37,2.702217,33.73,74.06,Neutral
-18,14,59,16.76,2.689423,33.75,74.19,Neutral
-18,14,59,28.37,2.69582,33.75,74.3,Neutral
-18,14,59,-15.04,2.693261,33.75,74.36,Neutral
-18,14,59,-27.55,2.690702,33.75,74.39,Neutral
-18,14,59,34.15,2.688143,33.73,74.4,Neutral
-18,13,59,5.08,2.685585,33.73,74.48,Neutral
-18,13,59,-50.25,2.689423,33.73,74.59,Neutral
-18,13,59,33.16,2.671511,33.73,74.67,Neutral
-18,13,59,14.46,2.672791,33.71,75.0,Neutral
-18,14,59,-32.57,2.675349,33.71,75.32,Neutral
-18,14,59,19.04,2.658717,33.71,75.53,Neutral
-18,14,59,20.9,2.649761,33.71,75.77,Neutral
-18,14,59,-16.36,2.654879,33.73,75.95,Neutral
-18,14,59,-38.41,2.65232,33.73,76.08,Neutral
-17,14,59,35.93,2.649761,33.73,76.15,Neutral
-18,14,59,5.13,2.647202,33.73,76.22,Neutral
-18,14,59,-47.72,2.643364,33.68,76.3,Neutral
-18,14,59,27.6,2.643364,33.68,76.37,Neutral
-18,14,59,21.42,2.638247,33.68,76.38,Neutral
-17,14,59,-21.66,2.633129,33.68,76.38,Neutral
-18,14,59,3.3,2.626732,33.71,76.37,Neutral
-17,14,59,21.82,2.636967,33.71,76.35,Neutral
-17,14,59,-23.58,2.619056,33.71,76.37,Neutral
-17,13,59,-0.45,2.621614,33.71,76.38,Neutral
-18,14,59,27.27,2.620335,33.71,76.28,Neutral
-18,14,59,-22.51,2.619056,33.71,76.12,Neutral
-17,14,59,-5.44,2.613938,33.71,75.98,Neutral
-17,14,59,37.85,2.616497,33.71,75.87,Neutral
-17,14,59,-12.66,2.622894,33.68,75.73,Neutral
-17,14,59,-36.84,2.621614,33.68,75.57,Neutral
-18,14,59,44.72,2.575556,33.68,75.57,Neutral
-17,14,59,12.76,2.603703,33.68,75.57,Neutral
-18,14,59,-40.82,2.602423,33.68,75.58,Neutral
-17,14,60,25.79,2.58707,33.68,75.62,Neutral
-18,14,59,33.76,2.599864,33.68,75.65,Neutral
-18,14,59,-12.32,2.597306,33.68,75.7,Neutral
-18,14,59,-29.44,2.58707,33.71,75.7,Neutral
-18,14,59,30.1,2.590909,33.71,75.7,Neutral
-17,14,59,-6.89,2.58835,33.71,75.68,Neutral
-18,14,59,-50.9,2.594747,33.71,75.63,Neutral
-17,14,59,34.52,2.601144,33.68,75.6,Neutral
-18,14,59,6.61,2.606261,33.68,75.52,Neutral
-17,14,59,-48.64,2.583232,33.68,75.45,Neutral
-18,14,59,33.26,2.592188,33.68,75.33,Neutral
-17,14,59,17.59,2.58707,33.68,75.22,Neutral
-18,14,59,-33.08,2.584512,33.68,75.15,Neutral
-17,14,59,28.61,2.574276,33.68,74.97,Neutral
-17,14,59,15.26,2.575556,33.68,74.83,Neutral
-17,14,59,-31.55,2.572997,33.71,74.67,Neutral
-18,14,59,12.47,2.562762,33.71,74.43,Neutral
-18,15,58,27.4,2.5666,33.71,74.5,Neutral
-18,14,59,-11.46,2.561482,33.71,74.65,Neutral
-18,14,59,-33.97,2.556365,33.71,75.02,Neutral
-18,14,59,32.1,2.542291,33.71,75.37,Neutral
-18,13,59,-0.58,2.548688,33.71,75.7,Neutral
-18,14,59,-46.73,2.543571,33.71,76.02,Neutral
-18,13,59,35.12,2.539732,33.68,76.33,Neutral
-17,14,60,3.95,2.543571,33.68,76.65,Neutral
-18,14,59,-46.08,2.533335,33.68,76.95,Neutral
-18,14,59,30.24,2.533335,33.68,77.27,Neutral
-18,14,59,13.19,2.526938,33.68,77.63,Neutral
-18,14,59,-33.52,2.521821,33.68,78.03,Neutral
-18,14,59,21.28,2.510306,33.68,78.45,Neutral
-18,14,59,12.36,2.511585,33.68,78.88,Neutral
-18,14,59,-36.34,2.496233,33.68,79.35,Neutral
-18,13,59,23.42,2.497512,33.68,79.73,Neutral
