ACC_X,ACC_Y,ACC_Z,BVP,EDA,TEMP,HR,Label
29,-6,55,-0.0,0.0,382.18,101.0,Neutral
29,-6,56,-0.05,0.328021,382.18,106.5,Neutral
28,-6,56,6.2,0.410026,382.18,95.33,Neutral
29,-6,56,22.9,0.43309,382.18,90.25,Neutral
28,-6,55,93.76,0.444622,35.05,88.2,Neutral
28,-6,55,208.53,0.453591,35.05,86.83,Neutral
28,-6,56,-537.23,0.458716,35.05,85.86,Neutral
29,-6,55,71.43,0.46256,35.05,85.0,Neutral
28,-6,55,141.3,0.465123,35.07,84.44,Neutral
29,-7,56,37.59,0.467686,35.07,84.0,Neutral
28,-7,55,2.62,0.470248,35.07,83.55,Neutral
28,-7,55,0.2,0.47153,35.07,83.17,Neutral
28,-6,56,1.0,0.472811,35.09,82.54,Neutral
28,-6,55,4.51,0.474092,35.09,82.0,Neutral
28,-6,55,16.07,0.474092,35.09,81.53,Neutral
29,-6,55,0.99,0.475374,35.09,81.19,Neutral
28,-7,55,-25.02,0.475374,35.11,80.82,Neutral
28,-6,55,-28.34,0.475374,35.11,80.5,Neutral
28,-7,56,66.53,0.476655,35.11,80.21,Neutral
28,-6,55,24.38,0.479218,35.11,80.0,Neutral
29,-6,56,-45.24,0.479218,35.09,79.86,Neutral
28,-6,55,30.94,0.479218,35.09,79.82,Neutral
29,-6,56,44.77,0.477936,35.09,79.87,Neutral
28,-6,55,-5.95,0.477936,35.09,79.88,Neutral
29,-7,56,-154.25,0.479218,35.13,79.96,Neutral
28,-6,55,86.15,0.477936,35.13,80.08,Neutral
29,-7,55,84.23,0.479218,35.13,80.11,Neutral
30,-6,55,-37.04,0.477936,35.13,80.07,Neutral
29,-6,55,16.83,0.477936,35.11,79.97,Neutral
29,-6,54,26.11,0.479218,35.11,79.87,Neutral
30,-6,55,-16.29,0.48178,35.11,79.87,Neutral
30,-6,55,-20.46,0.485624,35.11,79.97,Neutral
30,-7,55,40.25,0.49075,35.13,80.24,Neutral
29,-7,55,-8.89,0.493312,35.13,80.35,Neutral
30,-7,55,-91.75,0.495875,35.13,80.49,Neutral
30,-7,55,60.71,0.501,35.13,80.67,Neutral
30,-8,55,29.25,0.503563,35.15,80.84,Neutral
29,-8,55,-70.43,0.506126,35.15,81.05,Neutral
