ACC_X,ACC_Y,ACC_Z,BVP,EDA,TEMP,HR,Label
0.0,5.0,63.0,-0.0,0.0,382.21,60.0,Neutral
0.0,5.0,63.0,-0.05,0.400309,382.21,60.5,Neutral
-1.0,4.0,63.0,6.2,0.475767,382.21,60.0,Neutral
-1.0,4.0,62.0,22.9,0.485999,382.21,59.75,Neutral
-1.0,4.0,63.0,93.76,0.488557,27.61,59.8,Neutral
2.0,6.0,63.0,208.53,0.489836,27.61,60.67,Neutral
0.0,5.0,63.0,-537.23,0.489836,27.61,61.43,Neutral
0.0,5.0,63.0,71.43,0.488557,27.61,62.12,Neutral
0.0,5.0,63.0,141.3,0.485999,27.59,62.67,Neutral
0.0,5.0,63.0,37.59,0.483441,27.59,63.1,Neutral
-1.0,5.0,63.0,2.58,0.488557,27.59,63.45,Neutral
0.0,5.0,63.0,-0.46,0.489836,27.59,63.75,Neutral
0.0,5.0,63.0,-2.85,0.489836,27.59,64.08,Neutral
0.0,5.0,63.0,-11.5,0.489836,27.59,64.43,Neutral
-1.0,5.0,63.0,15.87,0.492393,27.59,64.73,Neutral
0.0,5.0,63.0,26.04,0.489836,27.59,65.0,Neutral
-1.0,5.0,63.0,-14.91,0.491114,27.57,65.24,Neutral
0.0,5.0,63.0,-7.27,0.491114,27.57,65.39,Neutral
0.0,5.0,63.0,5.7,0.493672,27.57,65.47,Neutral
0.0,5.0,63.0,9.83,0.485999,27.57,65.5,Neutral
0.0,5.0,63.0,-7.94,0.491114,27.57,65.43,Neutral
-1.0,5.0,63.0,-21.74,0.489836,27.57,65.36,Neutral
-1.0,5.0,63.0,21.4,0.489836,27.57,65.3,Neutral
0.0,5.0,63.0,26.11,0.491114,27.57,65.29,Neutral
0.0,5.0,63.0,-11.79,0.489836,27.57,65.36,Neutral
0.0,5.0,63.0,-37.89,0.493672,27.57,65.5,Neutral
0.0,5.0,63.0,3.33,0.492393,27.57,65.67,Neutral
0.0,5.0,63.0,-1.16,0.492393,27.57,65.86,Neutral
0.0,5.0,63.0,-28.6,0.492393,27.53,66.14,Neutral
0.0,5.0,63.0,14.49,0.492393,27.53,66.33,Neutral
-1.0,5.0,63.0,17.36,0.488557,27.53,66.52,Neutral
0.0,6.0,63.0,-2.31,0.485999,27.53,66.69,Neutral
-1.0,5.0,63.0,-34.97,0.491114,27.53,66.82,Neutral
0.0,6.0,63.0,17.55,0.493672,27.53,66.94,Neutral
0.0,6.0,63.0,11.89,0.491114,27.53,67.06,Neutral
0.0,5.0,63.0,-7.57,0.494951,27.53,67.14,Neutral
0.0,6.0,63.0,7.92,0.493672,27.53,67.22,Neutral
-1.0,5.0,63.0,30.82,0.493672,27.53,67.29,Neutral
0.0,5.0,63.0,1.13,0.493672,27.53,67.36,Neutral
0.0,6.0,63.0,-44.88,0.494951,27.53,67.43,Neutral
-1.0,5.0,63.0,8.57,0.494951,27.51,67.49,Neutral
0.0,6.0,63.0,10.89,0.487278,27.51,67.55,Neutral
0.0,5.0,63.0,-21.08,0.491114,27.51,67.58,Neutral
0.0,5.0,63.0,10.75,0.493672,27.51,67.61,Neutral
0.0,5.0,63.0,27.01,0.492393,27.51,67.64,Neutral
0.0,5.0,63.0,-3.71,0.493672,27.51,67.61,Neutral
0.0,5.0,63.0,-29.9,0.492393,27.51,67.55,Neutral
-1.0,5.0,63.0,15.13,0.494951,27.51,67.48,Neutral
-1.0,5.0,63.0,32.04,0.493672,27.49,67.39,Neutral
0.0,5.0,63.0,-10.16,0.492393,27.49,67.34,Neutral
-1.0,5.0,63.0,-21.47,0.493672,27.49,67.29,Neutral
1.0,6.0,63.0,13.98,0.491114,27.49,67.25,Neutral
0.0,5.0,63.0,1.71,0.489836,27.51,67.21,Neutral
-1.0,5.0,63.0,-20.72,0.493672,27.51,67.15,Neutral
0.0,5.0,63.0,5.23,0.493672,27.51,67.09,Neutral
0.0,5.0,63.0,9.98,0.493672,27.51,67.05,Neutral
-1.0,5.0,63.0,1.34,0.493672,27.49,67.04,Neutral
0.0,5.0,63.0,-24.3,0.494951,27.49,66.95,Neutral
-1.0,5.0,63.0,9.95,0.49623,27.49,66.88,Neutral
0.0,6.0,63.0,12.38,0.494951,27.49,66.87,Neutral
0.0,5.0,63.0,-11.42,0.494951,27.47,66.97,Neutral
0.0,5.0,63.0,0.96,0.49623,27.47,67.07,Neutral
0.0,5.0,63.0,25.68,0.494951,27.47,67.22,Neutral
0.0,6.0,63.0,8.23,0.491114,27.47,67.38,Neutral
0.0,6.0,63.0,-36.62,0.493672,27.45,67.53,Neutral
-1.0,5.0,63.0,14.77,0.494951,27.45,67.52,Neutral
0.0,4.0,63.0,14.01,0.493672,27.45,67.53,Neutral
-1.0,5.0,63.0,-13.03,0.49623,27.45,67.55,Neutral
-1.0,5.0,63.0,-15.29,0.49623,27.45,67.57,Neutral
0.0,5.0,63.0,25.5,0.497509,27.45,67.58,Neutral
-1.0,5.0,63.0,14.82,0.497509,27.45,67.58,Neutral
-2.0,4.0,63.0,-52.5,0.497509,27.45,67.58,Neutral
0.0,4.0,64.0,-18.28,0.502625,27.45,67.57,Neutral
-4.0,5.0,61.0,3.38,0.498788,27.45,67.53,Neutral
-4.0,3.0,62.0,-50.09,0.497509,27.45,67.5,Neutral
0.0,5.0,62.0,-14.25,0.501346,27.45,67.47,Neutral
0.0,6.0,63.0,47.69,0.501346,27.45,67.43,Neutral
-1.0,5.0,63.0,22.25,0.501346,27.45,67.43,Neutral
0.0,5.0,63.0,-22.31,0.500067,27.45,67.45,Neutral
-1.0,5.0,63.0,20.69,0.501346,27.45,67.5,Neutral
0.0,5.0,63.0,3.35,0.501346,27.43,67.6,Neutral
-1.0,5.0,63.0,-15.38,0.500067,27.43,67.7,Neutral
0.0,5.0,63.0,5.32,0.493672,27.43,67.8,Neutral
-1.0,5.0,63.0,10.32,0.501346,27.43,67.88,Neutral
0.0,5.0,63.0,-14.93,0.501346,27.41,67.95,Neutral
0.0,5.0,63.0,-18.27,0.498788,27.41,67.98,Neutral
0.0,5.0,63.0,22.36,0.501346,27.41,67.95,Neutral
0.0,5.0,63.0,7.07,0.501346,27.41,67.98,Neutral
0.0,5.0,63.0,-32.02,0.500067,27.39,67.93,Neutral
0.0,5.0,63.0,12.52,0.502625,27.39,67.9,Neutral
0.0,5.0,63.0,20.51,0.494951,27.39,67.87,Neutral
0.0,5.0,63.0,-6.39,0.502625,27.39,67.83,Neutral
0.0,5.0,63.0,-8.86,0.505183,27.41,67.85,Neutral
-1.0,6.0,63.0,18.6,0.503904,27.41,67.85,Neutral
0.0,5.0,63.0,20.28,0.501346,27.41,67.8,Neutral
-1.0,5.0,63.0,-22.56,0.505183,27.41,67.78,Neutral
0.0,5.0,63.0,1.28,0.506462,27.39,67.75,Neutral
0.0,5.0,63.0,10.56,0.505183,27.39,67.75,Neutral
-1.0,5.0,63.0,1.77,0.505183,27.39,67.75,Neutral
-1.0,5.0,63.0,-40.18,0.505183,27.39,67.72,Neutral
0.0,5.0,63.0,5.92,0.503904,27.41,67.68,Neutral
0.0,5.0,63.0,24.18,0.507741,27.41,67.65,Neutral
1.0,5.0,63.0,1.66,0.507741,27.41,67.65,Neutral
0.0,5.0,63.0,-32.39,0.505183,27.41,67.65,Neutral
0.0,5.0,63.0,11.7,0.505183,27.41,67.65,Neutral
0.0,6.0,63.0,20.21,0.500067,27.41,67.7,Neutral
1.0,5.0,63.0,-1.07,0.506462,27.41,67.73,Neutral
0.0,6.0,63.0,-24.39,0.498788,27.41,67.87,Neutral
0.0,6.0,63.0,6.23,0.505183,27.39,68.05,Neutral
0.0,6.0,63.0,4.99,0.506462,27.39,68.25,Neutral
0.0,4.0,62.0,-13.07,0.503904,27.39,68.47,Neutral
-1.0,5.0,63.0,58.05,0.503904,27.39,68.67,Neutral
-1.0,4.0,63.0,-9.76,0.503904,27.37,68.87,Neutral
0.0,5.0,63.0,-24.1,0.50902,27.37,69.1,Neutral
0.0,6.0,63.0,-28.97,0.505183,27.37,69.42,Neutral
0.0,5.0,63.0,15.82,0.505183,27.37,69.73,Neutral
1.0,6.0,63.0,27.22,0.501346,27.39,70.03,Neutral
0.0,5.0,63.0,-23.83,0.505183,27.39,70.38,Neutral
0.0,5.0,63.0,-85.09,0.505183,27.39,70.72,Neutral
0.0,4.0,63.0,31.47,0.505183,27.39,71.05,Neutral
-1.0,3.0,63.0,47.68,0.505183,27.39,71.38,Neutral
0.0,6.0,63.0,14.88,0.505183,27.39,71.65,Neutral
0.0,6.0,64.0,25.73,0.505183,27.39,71.85,Neutral
0.0,5.0,63.0,25.64,0.505183,27.39,72.02,Neutral
0.0,5.0,63.0,-25.89,0.507741,27.41,72.15,Neutral
1.0,6.0,63.0,-37.15,0.50902,27.41,72.18,Neutral
0.0,5.0,63.0,4.29,0.506462,27.41,72.15,Neutral
1.0,5.0,63.0,23.0,0.502625,27.41,72.05,Neutral
0.0,6.0,63.0,-26.92,0.506462,27.39,71.95,Neutral
1.0,6.0,63.0,24.76,0.507741,27.39,71.9,Neutral
-1.0,5.0,63.0,8.23,0.507741,27.39,71.85,Neutral
0.0,5.0,63.0,-55.05,0.501346,27.39,71.8,Neutral
0.0,6.0,63.0,9.81,0.507741,27.37,71.75,Neutral
0.0,6.0,63.0,16.14,0.507741,27.37,71.68,Neutral
0.0,5.0,63.0,-3.07,0.506462,27.37,71.62,Neutral
