ACC_X,ACC_Y,ACC_Z,BVP,EDA,TEMP,HR,Label
-29.0,22.0,53.0,-0.0,0.0,382.21,69.0,Neutral
-28.0,22.0,52.0,-0.05,0.191888,382.21,76.0,Neutral
-27.0,22.0,53.0,6.2,0.258409,382.21,78.33,Neutral
-28.0,22.0,53.0,22.9,0.264805,382.21,77.25,Neutral
-28.0,22.0,53.0,93.76,0.266084,31.69,76.0,Neutral
-28.0,22.0,53.0,208.53,0.267363,31.69,77.17,Neutral
-28.0,22.0,53.0,-537.23,0.267363,31.69,78.0,Neutral
-28.0,22.0,53.0,71.43,0.267363,31.69,79.5,Neutral
-28.0,22.0,53.0,141.3,0.264805,31.67,80.67,Neutral
-27.0,22.0,53.0,37.59,0.266084,31.67,81.4,Neutral
-28.0,22.0,53.0,2.62,0.267363,31.67,81.73,Neutral
-28.0,22.0,53.0,0.16,0.266084,31.67,82.0,Neutral
-28.0,22.0,53.0,0.91,0.266084,31.67,82.15,Neutral
-28.0,22.0,53.0,4.07,0.266084,31.67,82.29,Neutral
-29.0,22.0,53.0,15.21,0.267363,31.67,81.8,Neutral
-28.0,22.0,53.0,7.42,0.264805,31.67,81.38,Neutral
-28.0,22.0,53.0,-24.13,0.266084,31.65,81.0,Neutral
-28.0,22.0,53.0,-32.07,0.267363,31.65,80.67,Neutral
-28.0,22.0,53.0,23.89,0.264805,31.65,80.32,Neutral
-28.0,22.0,53.0,3.71,0.263526,31.65,80.05,Neutral
-28.0,22.0,53.0,32.97,0.264805,31.67,79.81,Neutral
-28.0,22.0,53.0,-5.36,0.264805,31.67,79.59,Neutral
-28.0,23.0,53.0,-70.45,0.263526,31.67,79.43,Neutral
-28.0,22.0,53.0,42.67,0.262246,31.67,79.25,Neutral
-28.0,22.0,53.0,16.1,0.263526,31.67,79.08,Neutral
-29.0,22.0,53.0,-42.24,0.264805,31.67,78.92,Neutral
-28.0,22.0,53.0,37.96,0.263526,31.67,78.81,Neutral
-28.0,23.0,53.0,29.52,0.262246,31.67,78.68,Neutral
-28.0,23.0,53.0,-28.1,0.264805,31.65,78.55,Neutral
-28.0,22.0,53.0,14.15,0.263526,31.65,78.47,Neutral
-28.0,23.0,53.0,28.71,0.259688,31.65,78.39,Neutral
-28.0,23.0,53.0,-10.77,0.263526,31.65,78.38,Neutral
-28.0,22.0,52.0,-56.07,0.262246,31.65,78.39,Neutral
-28.0,23.0,52.0,30.27,0.263526,31.65,78.44,Neutral
-28.0,22.0,53.0,6.12,0.262246,31.65,78.51,Neutral
-28.0,23.0,53.0,-61.36,0.262246,31.65,78.58,Neutral
-28.0,23.0,53.0,36.0,0.262246,31.65,78.7,Neutral
-29.0,23.0,53.0,5.9,0.262246,31.65,78.87,Neutral
-27.0,23.0,52.0,-60.77,0.262246,31.65,79.08,Neutral
-28.0,22.0,52.0,43.02,0.262246,31.65,79.28,Neutral
-29.0,22.0,53.0,25.1,0.262246,31.65,79.46,Neutral
-28.0,22.0,52.0,-41.92,0.260967,31.65,79.67,Neutral
-29.0,23.0,52.0,36.42,0.262246,31.65,79.93,Neutral
-29.0,23.0,53.0,28.43,0.263526,31.65,80.18,Neutral
-29.0,22.0,51.0,-23.03,0.267363,31.63,80.42,Neutral
-28.0,23.0,53.0,10.09,0.266084,31.63,80.7,Neutral
-28.0,22.0,53.0,146.27,0.266084,31.63,81.0,Neutral
-29.0,22.0,53.0,36.49,0.266084,31.63,81.33,Neutral
-29.0,22.0,52.0,-152.09,0.264805,31.65,81.67,Neutral
-29.0,22.0,53.0,7.11,0.264805,31.65,82.02,Neutral
-29.0,22.0,53.0,-46.33,0.266084,31.65,82.47,Neutral
-29.0,22.0,52.0,-129.93,0.264805,31.65,82.85,Neutral
-28.0,22.0,53.0,46.83,0.262246,31.67,83.19,Neutral
-29.0,22.0,52.0,16.6,0.264805,31.67,83.52,Neutral
-29.0,22.0,52.0,-77.29,0.263526,31.67,83.8,Neutral
-29.0,22.0,52.0,62.67,0.266084,31.67,84.02,Neutral
-29.0,22.0,52.0,34.11,0.266084,31.67,84.19,Neutral
-30.0,22.0,53.0,-39.26,0.266084,31.67,84.09,Neutral
-28.0,21.0,52.0,47.31,0.264805,31.67,83.98,Neutral
-28.0,23.0,53.0,40.68,0.264805,31.67,83.88,Neutral
-28.0,22.0,52.0,-29.37,0.264805,31.65,84.03,Neutral
-27.0,23.0,53.0,38.79,0.266084,31.65,83.97,Neutral
-28.0,24.0,53.0,35.83,0.264805,31.65,83.93,Neutral
-29.0,22.0,52.0,-23.97,0.259688,31.65,84.05,Neutral
-30.0,22.0,52.0,-29.79,0.266084,31.65,84.23,Neutral
-28.0,24.0,51.0,57.21,0.266084,31.65,84.22,Neutral
-29.0,23.0,52.0,7.92,0.264805,31.65,84.18,Neutral
-29.0,22.0,53.0,-86.56,0.264805,31.65,84.05,Neutral
-29.0,22.0,52.0,50.82,0.264805,31.63,83.9,Neutral
-29.0,22.0,53.0,14.26,0.266084,31.63,83.77,Neutral
-28.0,22.0,53.0,-70.81,0.266084,31.63,83.7,Neutral
-28.0,22.0,53.0,53.94,0.264805,31.63,83.58,Neutral
-29.0,23.0,52.0,25.91,0.264805,31.63,83.45,Neutral
-29.0,22.0,53.0,-55.6,0.263526,31.63,83.32,Neutral
-29.0,22.0,53.0,50.13,0.260967,31.63,83.33,Neutral
-29.0,22.0,53.0,28.13,0.262246,31.63,83.35,Neutral
-29.0,22.0,53.0,-39.11,0.264805,31.67,83.37,Neutral
-29.0,22.0,52.0,29.72,0.264805,31.67,83.45,Neutral
-29.0,22.0,52.0,27.33,0.263526,31.67,83.65,Neutral
-28.0,23.0,53.0,-31.52,0.264805,31.67,83.82,Neutral
-28.0,23.0,53.0,32.3,0.266084,31.63,84.0,Neutral
-28.0,22.0,52.0,34.05,0.264805,31.63,84.18,Neutral
-28.0,22.0,52.0,11.03,0.259688,31.63,84.35,Neutral
-29.0,23.0,53.0,96.01,0.266084,31.63,84.53,Neutral
-29.0,23.0,52.0,22.12,0.263526,31.65,84.68,Neutral
-29.0,23.0,53.0,-178.44,0.262246,31.65,84.82,Neutral
-29.0,23.0,53.0,-169.25,0.264805,31.65,84.92,Neutral
